Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата
19811,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-09-27
6814,46763597,"photo, ",nil,https://vk.com/id46763597,2017-09-27
6,441802762,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id441802762,2017-09-27
253,17289807,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id17289807,2017-09-27
7599,53556483,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id53556483,2017-09-26
3464,153391164,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id153391164,2017-09-26
2082,228595636,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id228595636,2017-09-26
186,437795721,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id437795721,2017-09-26
19774,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-09-26
1253,-152628989,"photo, ",nil,https://vk.com/id-152628989,2017-09-26
9573,2710558,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id2710558,2017-09-26
2221,317152969,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id317152969,2017-09-26
2786,136868830,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id136868830,2017-09-26
171201,-15106510,"photo, link, ",https://www.ivi.ru/watch/amnesia,https://vk.com/id-15106510,2017-09-26
17,349793152,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id349793152,2017-09-26
275,215002711,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id215002711,2017-09-26
1470,164048098,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id164048098,2017-09-25
19750,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-09-25
171169,-15106510,"video, ",nil,https://vk.com/id-15106510,2017-09-25
2218,164751409,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id164751409,2017-09-25
82,261957197,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id261957197,2017-09-25
21565,213499060,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id213499060,2017-09-25
